,symbol,full name,market,sector,sub-sector
343,JCKH,บริษัท เจซีเค ฮอสพิทอลลิตี้ จำกัด (มหาชน),mai,AGRO,
344,JCT,บริษัท แจ๊กเจียอุตสาหกรรม (ไทย) จำกัด (มหาชน),SET,CONSUMP,PERSON
345,JDF,บริษัท เจดีฟู้ด จำกัด (มหาชน),SET,AGRO,FOOD
346,JKN,บริษัท เจเคเอ็น โกลบอล กรุ๊ป จำกัด (มหาชน),SET,SERVICE,MEDIA
347,JMART,บริษัท เจมาร์ท กรุ๊ป โฮลดิ้งส์ จำกัด (มหาชน),SET,TECH,ICT
348,JMT,บริษัท เจ เอ็ม ที เน็ทเวอร์ค เซอร์วิสเซ็ส จำกัด (มหาชน),SET,FINCIAL,FIN
349,JPARK,บริษัท เจนก้องไกล จำกัด (มหาชน),mai,SERVICE,
350,JR,บริษัท เจ.อาร์.ดับเบิ้ลยู. ยูทิลิตี้ จำกัด (มหาชน),SET,PROPCON,CONS
351,JSP,บริษัท โรงงานเภสัชอุตสาหกรรม เจเอสพี (ประเทศไทย) จำกัด (มหาชน),mai,CONSUMP,
352,JTS,บริษัท จัสมิน เทคโนโลยี โซลูชั่น จำกัด (มหาชน),SET,TECH,ICT
353,JUBILE,บริษัท ยูบิลลี่ เอ็นเตอร์ไพรส์ จำกัด (มหาชน),mai,CONSUMP,
354,K,บริษัท คิงส์เมน ซี.เอ็ม.ที.ไอ. จำกัด (มหาชน),mai,PROPCON,
355,KAMART,บริษัท คาร์มาร์ท จำกัด (มหาชน),SET,SERVICE,COMM
356,KASET,บริษัท ไทยฮา จำกัด (มหาชน),mai,AGRO,
357,KBANK,ธนาคารกสิกรไทย จำกัด (มหาชน),SET,FINCIAL,BANK
358,KBS,บริษัท น้ำตาลครบุรี จำกัด (มหาชน),SET,AGRO,FOOD
359,KC,บริษัท เค.ซี. พร็อพเพอร์ตี้ จำกัด (มหาชน),SET,PROPCON,PROP
360,KCAR,บริษัท กรุงไทยคาร์เร้นท์ แอนด์ ลีส จำกัด (มหาชน),SET,FINCIAL,FIN
361,KCC,บริษัท ไนท คลับ แคปปิตอล โฮลดิ้ง จำกัด (มหาชน),mai,FINCIAL,
362,KCE,บริษัท เคซีอี อีเลคโทรนิคส์ จำกัด (มหาชน),SET,TECH,ETRON
363,KCG,บริษัท เคซีจี คอร์ปอเรชั่น จำกัด (มหาชน),SET,AGRO,FOOD
364,KCM,บริษัท เค.ซี.เมททอลชีท จำกัด (มหาชน),mai,INDUS,
365,KDH,บริษัท ธนบุรี เมดิเคิล เซ็นเตอร์ จำกัด (มหาชน),SET,SERVICE,HELTH
366,KEX,บริษัท เคอีเอ็กซ์ เอ็กซ์เพรส (ประเทศไทย) จำกัด (มหาชน),SET,SERVICE,TRANS
367,KGEN,บริษัท คิง เจน จำกัด (มหาชน),mai,SERVICE,
368,KGI,บริษัทหลักทรัพย์ เคจีไอ (ประเทศไทย) จำกัด (มหาชน),SET,FINCIAL,FIN
369,KIAT,บริษัท เกียรติธนา ขนส่ง จำกัด (มหาชน),SET,SERVICE,TRANS
370,KISS,บริษัท โรจูคิส อินเตอร์เนชั่นแนล จำกัด (มหาชน),SET,CONSUMP,PERSON
371,KJL,บริษัท กิจเจริญ เอ็นจิเนียริ่ง อีเลคทริค จำกัด (มหาชน),mai,INDUS,
372,KK,บริษัท เคแอนด์เค ซุปเปอร์สโตร์ เซาท์เทิร์น จำกัด (มหาชน),mai,SERVICE,
373,KKC,บริษัท กุลธรเคอร์บี้ จำกัด (มหาชน),SET,INDUS,IMM
374,KKP,ธนาคารเกียรตินาคินภัทร จำกัด (มหาชน),SET,FINCIAL,BANK
375,KLINIQ,บริษัท เดอะคลีนิกค์ คลินิกเวชกรรม จำกัด (มหาชน),mai,SERVICE,
376,KOOL,บริษัท ซีแอล เวนเจอร์ จำกัด (มหาชน),mai,SERVICE,
377,KPNPF,กองทุนรวมอสังหาริมทรัพย์เคพีเอ็น,SET,PROPCON,PF&REIT
378,KSL,บริษัท น้ำตาลขอนแก่น จำกัด (มหาชน),SET,AGRO,FOOD
379,KTB,ธนาคารกรุงไทย จำกัด (มหาชน),SET,FINCIAL,BANK
380,KTBSTMR,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าอสังหาริมทรัพย์ เคทีบีเอสที มิกซ์,SET,PROPCON,PF&REIT
381,KTC,บริษัท บัตรกรุงไทย จำกัด (มหาชน),SET,FINCIAL,FIN
382,KTIS,บริษัท เกษตรไทย อินเตอร์เนชั่นแนล ชูการ์ คอร์ปอเรชั่น จำกัด (มหาชน),SET,AGRO,FOOD
383,KTMS,บริษัท เคที เมดิคอล เซอร์วิส จำกัด (มหาชน),mai,SERVICE,
384,KUMWEL,บริษัท คัมเวล คอร์ปอเรชั่น จำกัด (มหาชน),mai,INDUS,
385,KUN,บริษัท วิลล่า คุณาลัย จำกัด (มหาชน),SET,PROPCON,PROP
